id,address,source,city,country,zip,source_id,state,longitude,latitude,updated
1,4439 Ruskin Way,L,Fentange,LU,L-5891,72a6245a-bee3-4ed4-90fc-898bf7c7350c,,6.1544928,49.5670697,2019-12-29
2,26628 Dovetail Lane,L,Qiaonan,CN,,41ee0af6-fa81-4cc5-b09e-76c51b738a2e,,113.3681177,22.925131,2020-06-18
3,905 Straubel Pass,XS,Wugui,CN,,41a802ce-e910-4328-b5d3-45e1295745ee,,116.442259,39.907483,2020-07-19
4,61 Elgar Way,L,Kalwaria Zebrzydowska,PL,34-130,946536cd-ed46-42a2-92d5-2b15e9395084,,19.67676,49.86686,2020-07-08
5,03494 Truax Pass,M,Mancagahar,ID,,27d54729-df25-449a-9211-2b42231bdeaf,,107.7073688,-7.6569277,2019-09-18
6,3579 Melody Junction,2XL,Nagasaki-shi,JP,852-8005,425089fc-41c8-4a9d-bad9-730fb7715267,,129.8585548,32.7493573,2019-09-08
7,9429 Nevada Parkway,XS,Aimorés,BR,35200-000,0dd48de5-2cb0-4d35-8132-47685c0721cb,,-41.0713439,-19.4959312,2018-02-11
8,193 Pawling Park,XL,Gjøvik,NO,2821,c62d8331-76f2-4bba-90cc-e3e32fdb63b7,5,10.705945,60.79832,2018-09-14
9,38 Dryden Parkway,M,Yŏnmu,KR,,cfc858e6-8655-4fef-8b05-6b70125313aa,,127.1,36.12944,2019-07-26
10,044 Sherman Pass,L,Couva,TT,,11207725-b9eb-4495-a76c-9f2f3ca6100b,,-61.4493842,10.4320215,2020-12-16
11,8 John Wall Drive,XL,Plužine,ME,,2d2a9a6b-17e4-4c49-a0a5-875e7ddebf1a,,18.8410376,43.1541366,2019-12-09
12,73967 Hansons Hill,S,Serra de Santa Marinha,PT,3080-570,fc500129-a75d-4f5f-8d20-6793d1f0068c,6,-8.8629472,40.1941227,2019-02-10
13,9543 Northview Place,XS,Awgu,NG,,08e9f0ad-9ea8-443d-aec2-b6398b0b3694,,7.4760047,6.0639962,2018-07-17
14,76166 Anderson Parkway,2XL,Jiujie,CN,,62171bc6-e29c-4ae3-a689-49575fb91c4d,,119.598195,39.952319,2018-06-25
15,1 Maryland Way,3XL,Krasnyye Chetai,RU,429052,c7b07387-b7ac-45f1-aaff-6eb6cad5da55,,46.13865,55.68871,2019-10-09
16,0 Columbus Parkway,2XL,Xinmin,CN,,6a510047-ae4e-4b30-9290-368bf68acc29,,122.836723,41.985186,2019-12-27
17,3 Lakewood Gardens Crossing,M,Tai Po,HK,,b45e4656-6559-4aae-bafe-a90b5e0e11f4,,114.1655064,22.4423218,2020-04-25
18,31 Vernon Street,2XL,Greenwood,CA,E6J,20c53f60-37a1-4356-8573-080435c88be6,NS,-64.89879,44.98345,2018-11-09
19,15 Jay Trail,2XL,Czarne,PL,77-330,79cfcb31-51c6-4eea-83a6-e56bebac2e18,,16.9312789,53.6808257,2020-01-24
20,9055 Brown Avenue,2XL,Le Mans,FR,72080 CEDEX 9,31968175-d5e3-4540-b8d1-fd2d5bddcd1e,B5,0.1924459,47.9956173,2019-09-13
21,7071 Northview Way,XL,Krajan Kulon,ID,,141d8552-9f1f-4508-820d-500ba7a20676,,110.2579036,-6.9484206,2019-07-26
22,87276 Westport Terrace,S,Nuing,PH,1707,2bbd1ba8-d451-4a61-9506-483933295d39,,123.7244858,13.1424635,2018-01-09
23,051 Corscot Street,M,Tabuaço,PT,5120-384,910df47f-1218-48da-98b5-2fefcf4416e0,18,-7.5627051,41.1154773,2019-11-24
