id,address,source,city,country,zip,source_id,state
1,17 Stang Lane,S,Naju,KR,,84224a89-5f15-4860-a333-aef4277d8bf0,
2,44279 Gateway Park,XL,Heliconia,CO,55827,347d3686-b7a7-47cb-adf3-1593218403bc,
3,8 Green Trail,M,Purificación,CO,734509,bc928acf-a290-411b-82b4-fc0d507bf823,
4,77913 Commercial Trail,XL,Santo Domingo de los Colorados,EC,,a977a1db-5866-4850-a28b-e13728fa54f8,
5,53 Donald Circle,XS,Mawu,CN,,ae3c65f6-1df1-4137-82fc-4bb6209157be,
6,609 Roth Road,XL,Piracanjuba,BR,75640-000,f604a2c5-abc4-4122-bd42-423fa8808d89,
7,07 Upham Place,XL,Nerokoúros,GR,,e63986db-f3e1-4874-a159-9ae197073722,
8,1 Northridge Lane,3XL,Puncaksempur,ID,,8d4f1989-b42a-45ba-9c10-870bdda88dc6,
9,53562 Delladonna Pass,S,Juru,BR,58750-000,3c7f0e45-f28f-4626-b1ff-69d2ff911898,
10,82 Anzinger Alley,M,Thymianá,GR,,e3d74b63-5efb-47a8-9fe2-fa6625723082,
11,7 Lillian Avenue,3XL,Sydney,AU,1033,68f56745-17d3-4a27-adac-b41c9d214b23,NSW
12,6 Debs Crossing,L,Vaggeryd,SE,567 24,d03a243a-4d90-4254-b3b9-4466b0e77318,F
13,64137 Artisan Place,XS,Khulm,AF,,fab1e011-4cf4-41d4-9587-bc722de23b3a,
14,33669 Del Mar Parkway,3XL,Nakhon Nayok,TH,26120,10c9d1ef-b20d-4e6f-90ec-e25a170f130f,
15,3647 Mayer Street,XS,Daveluyville,CA,R3P,03649bf9-89c8-422c-af6d-853c83cde632,QC
16,6876 Harbort Avenue,2XL,Mizque,BO,,cd013927-5629-4c40-9edc-e95feeecac70,
17,8 Porter Center,L,Newton,US,2162,af6f92b3-a524-40e0-bca4-2aa26a2a8d15,MA
18,2 Kedzie Point,L,Fengcun,CN,,9bacc521-1c14-4344-a8de-69c3f46ce6c3,
19,09010 Bunker Hill Hill,S,Linjiang,CN,,21da4baf-3f28-435a-808a-4dbe227cd83b,
20,5013 Shelley Parkway,2XL,Las Yaras,PE,,a6c70e54-3280-4d3b-9cd3-5ddc12fea8b6,
21,8 Dapin Alley,2XL,Hongqiao,CN,,70b8e42c-02e9-4064-9262-49b80dbf90ad,
22,4 Ryan Avenue,M,Lago,SL,,5e51a1b5-d69f-460a-8ebe-2663f8ee248d,
23,62625 Briar Crest Trail,XL,Staraya Kupavna,RU,142450,6323a606-c074-4a19-aa44-5e1ad0340837,
24,1224 Sunnyside Road,L,Hongtang,CN,,18debb63-b081-4683-85d0-cdb01aad8133,
25,5057 Erie Junction,M,Veguitas,VE,,06819fa8-3655-4310-bd07-b601cdd7360f,
26,60 Texas Circle,XL,Kozelets’,UA,,da5e3751-2cf1-46cf-a294-4533cede0026,
27,2380 Scott Court,M,Fudian,CN,,e6d3f20a-35ed-48fd-9dde-d49949e53411,
28,2565 Muir Court,3XL,Mehrān,IR,,eb236693-b77c-4210-8ad7-e139e9d09b80,
29,36282 4th Avenue,XL,Taiping,CN,,c5d1c8a9-34b0-4ec7-9f76-a26b27b6dc1e,
30,503 David Junction,L,El Paso,US,79934,0972c34c-0bfa-4103-831a-d73cc4f95a49,TX
31,193 Knutson Drive,2XL,Cartagena,CO,130027,994245b0-db9c-450f-8b5e-8292660eb8ca,
32,9 Forster Point,XS,Xintaimen,CN,,29274c60-6f70-4497-b004-46eda7252cfa,
33,1 Superior Avenue,XS,Tālīn,SY,,de0ca428-84f7-4f54-a947-e41dede7a0bf,
34,2 Northridge Center,3XL,Phuthaditjhaba,ZA,9869,ae677986-3515-402d-b7ed-bfd7694baf3a,
35,089 Arizona Court,M,Alcáçovas,PT,7090-021,18eb4499-19a2-464d-903a-50c78add6408,7
36,91966 Service Avenue,M,Yuhuangding,CN,,9dc3aeca-3485-48da-9de3-2e0672fd4bc2,
37,3224 Garrison Park,M,Bahorí,TJ,,6dc315bc-ceab-493c-adc3-01f9a9b5d425,
38,9056 Morning Park,2XL,Rybnoye,RU,400036,0d0a2786-c21a-4f78-b0da-c5a3ff5641c0,
39,91513 Holmberg Parkway,3XL,Yong’an,CN,,6c0e1fa5-9f3c-49f2-ba41-d6686c2c25c6,
40,52116 Eliot Place,XS,Nzega,RW,,f8ea313f-8170-40af-9295-547a7acc3c8a,
41,661 Alpine Junction,S,Seogeom-ri,KR,,2803a079-f153-4417-9ddd-7ab4b427c2a0,
42,77221 Nelson Plaza,L,Tongzilin,CN,,0bb54176-6077-449f-89d9-d0d8f7d85d2e,
43,8334 Mcguire Terrace,XS,Zyuzino,RU,142817,9146f0e9-591d-40a1-bbb1-180152702625,
44,483 Summerview Terrace,L,Xindi,CN,,310ddfb0-a880-4f27-8a52-a0db4cc9493e,
45,23166 Schmedeman Park,2XL,Tyumen,RU,625999,d87ea226-158d-4e50-a035-d9ad1d56ebc5,
46,5 Susan Way,L,Mospyne,UA,,9ae1347c-6198-4490-8d71-cd95cb4bde1f,
47,1 Marcy Terrace,XL,Retenggoma,ID,,fc3df6b8-c838-46cc-9ceb-723da3875baa,
48,5405 Lindbergh Road,XL,Huayuan,CN,,785f5ec2-b15f-4623-928c-4f5aae633ed9,
49,09506 Hermina Parkway,3XL,Xinkai,CN,,71498e02-b7b3-4174-b5cc-9c597d9e792e,
50,815 Vera Terrace,S,Jiaoyuan,CN,,84576f55-ea12-43c4-9739-52154fc97e06,
51,5 Hooker Court,S,Síkinos,GR,,777460c9-dbe6-487c-a517-adb09a2d4c43,
52,2192 Weeping Birch Point,L,Lijiang,CN,,d84146c0-84c9-4f99-b6de-e45425a0d8cc,
53,76758 Karstens Junction,2XL,Okrouhlice,CZ,582 31,b15620f9-57f3-4eb2-b9c5-f272a5904b4f,
54,7744 Schmedeman Way,L,Houzhen,CN,,0821c4a8-5783-44d9-8897-691c8b2599e7,
55,30182 Almo Lane,XL,Qiaojia,CN,,209041c6-3b76-43af-baf4-149f35fb677f,
